Studento vardas   Pavarde              ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9  ND10  ND11  ND12  ND13  ND14  ND15   Egzamino rez
Vardas308         Pavarde308             9     3     7     3    10     7    10     9     4    10     6     8     1     2     3              1
Vardas309         Pavarde309             8     7     6     7     4     3     9     6     6     9     9     1     2    10     5              6
Vardas310         Pavarde310             7     8     8     2     9     4     7     4     4     9     4     6    10     7     2              2
Vardas311         Pavarde311            10     5     4    10     2    10     3     7     1     8     1    10     4     9     8              4
Vardas312         Pavarde312             1     9     7     9     4     1     7     9     6     4    10     9     7     1     6              7
Vardas313         Pavarde313             4     9    10     7     1     6    10    10     2     8     6     5     9     9     5              2
Vardas314         Pavarde314             2     8     1     3     6     7     9     9     1     6     4     5     4     8     6              7
Vardas315         Pavarde315             1     7     2     1    10     9     8    10     6     4     8     2     2     8     4              2
Vardas316         Pavarde316             7    10     2     5     3     8     1     9     7     5    10     8     1     2     4              2
Vardas317         Pavarde317             2    10    10    10     6    10     4     6     7     2     5     4    10     6     5              6
Vardas318         Pavarde318             6     1     4     8     3     3     5     4     1     6     9     1     4     1     7              6
Vardas319         Pavarde319             5     1     9     9     5     9     2     8     8     9     1    10     1     1     1              3
Vardas320         Pavarde320             1     5     6     5     3     2     7     9     5     7     7     7     3     9     9              6
Vardas321         Pavarde321             3     8     7    10     3     2     7     1     8     7     1     1     6     6     9              5
Vardas322         Pavarde322             5     4    10     7     4     7     9     5     2     2     6     6     5     3    10              3
Vardas323         Pavarde323             5     1     6     8     7     1     5     5     8     6     6    10     2     9     5              5
Vardas324         Pavarde324             7     6     2     1     5    10    10     6     9     8     6     5     9     7     1              3
Vardas325         Pavarde325             7     3     8     4     2     6    10     6    10     9    10     8     5     1     9              5
Vardas326         Pavarde326             8     3     1     9     9     7     1     3     4    10     2     4     8    10     4              4
Vardas327         Pavarde327             2     3     6     7     3     1     7     2     8     8     1     6     7     2     3              3
Vardas328         Pavarde328             7     2     1     6     6     4     4     2     3     6     8     3     2     8     2              3
Vardas329         Pavarde329             3     9     1    10     5    10     4     2     5     2     5     4     1     5     9              8
Vardas330         Pavarde330             4     3     9     3     4    10     9     6     1     9     4     6     2     6     9              4
Vardas331         Pavarde331             8     2     7     1    10     1     6     4     2     5     3     1     2     6    10              1
Vardas332         Pavarde332             5     3     7     1     6     3     5     3     4     9     6     1     6     4     3             10
Vardas333         Pavarde333             8     4     8     5    10     9     9     9     1    10     8     4     1     8     7              2
Vardas334         Pavarde334             3     5     3     9     7     4    10     9     4     6     2     1    10     7     3              6
Vardas335         Pavarde335             5     9     6     4     2     8     1     9     1     5     7    10     7     9     6              3
Vardas336         Pavarde336             3     3     2     8     9     6    10    10     3    10     7    10     6     1     7              3
Vardas337         Pavarde337             6     3     4     2     7     2     1     3     3     2     1     4     6     6     1              1
Vardas338         Pavarde338             9     1     2     7     5     5    10     1    10     3     6     2     5     1     3              2
Vardas339         Pavarde339             6     2     7     4     1     9     3     6     7     5     3     5     6     3     2              2
Vardas340         Pavarde340             6     1     6     2     8     3     4     8     4     1    10     9     5     5    10              6
Vardas341         Pavarde341             1     6     2     3     5     1     7     1     2    10    10     4     8     1     6              7
Vardas342         Pavarde342             1     9     6     8    10     2     1     3     7    10     1    10     6    10    10              2
Vardas343         Pavarde343             2     5     8     6     2     4    10     9     5     4     5     5     1     2     8              5
Vardas344         Pavarde344             2     8     6     1    10     6     9     2     3     8     1    10     7     8     9              9
Vardas345         Pavarde345             5     9     6     2     4     6     2     5     8     3     5     7     5     9     2              5
Vardas346         Pavarde346             9     7     7     7     1    10     8    10    10     4     5     2     5     1     8              7
Vardas347         Pavarde347             3     3     9     7     3     4     9    10     4     8     4     8     7     5     2              4
Vardas348         Pavarde348             1     4     3     1     3     4     5     4     8     6     3     1     8     7     1              9
Vardas349         Pavarde349             7     9    10     5     4    10     4     4     1     1     8     1     8     3     4              8
Vardas350         Pavarde350             4     2     6    10     2     9     2     9     4     9     9     9     5     8     3              2
Vardas351         Pavarde351             3     7     8     1     9     4     5     2    10     3     3     2     2     4     6              2
Vardas352         Pavarde352             2     1     9     2     3     5     5     6     1     6     6     4     1     9    10              1
Vardas353         Pavarde353             8     3     9     1     6    10     9    10     2     2     6     4     8    10     1              8
Vardas354         Pavarde354             5     5     8     3     2     5     7     3     8     2     2     3     6     9     6              9
Vardas355         Pavarde355             5     7     9     6     9     6    10     8     3     2    10     8     3     4     6              3
Vardas356         Pavarde356             8    10     7     6     3     9     4     6     8     4     6    10     8    10     2              1
Vardas357         Pavarde357             4     9     3     9     7     2     6     7    10     2     9    10     3    10     9              9
Vardas358         Pavarde358             5     3     9     7     2     8     4     2     5    10     8     6    10     9     2              6
Vardas359         Pavarde359             6     3     3     7     8     4     8    10     5     8     3     5    10     4     8              5
Vardas360         Pavarde360             3     2    10     7     8    10    10     5     7     3     8     8     4     2     3             10
Vardas361         Pavarde361             8     2     3     7     7     4     8     5     3     3     6     7     5     2     6              4
Vardas362         Pavarde362             3     4     3    10     3    10     8    10     6    10     5     3    10     1     3              6
Vardas363         Pavarde363             4     2    10     1     5     8     6    10     1     9     9     3     9     6     5              5
Vardas364         Pavarde364             2     5     8     6    10     2     5    10     1     7     1     8     4     2     2              9
Vardas365         Pavarde365             7     1     4     2     7     9     5     2     6     3     7     1     5     4     1              7
Vardas366         Pavarde366            10     6     7     4     6     3     9     6     1     7     6     7     5     3     3              6
Vardas367         Pavarde367             6     7     2     4     7     1     4     1     2     5     4     8     1    10     3              6
Vardas368         Pavarde368             3     3     9     5     3     9     6     9     3     8     3     3     1     4    10              2
Vardas369         Pavarde369             1     2     6     5     5     6    10    10     3     7    10     1     4     6     7              9
Vardas370         Pavarde370             9    10     6     7    10     2     5     3     1     8     9     8     9     2     9              4
Vardas371         Pavarde371             4     6     2     8     3     6     2     6     9     3     5     1     9     2     6              4
Vardas372         Pavarde372             4     6     9     6     8    10    10     3     5     5     2     7    10     3     7              9
Vardas373         Pavarde373             6     3     1     2     3     9     3    10     8     7     9     9     8     9     6              5
Vardas374         Pavarde374             6    10     2     1     1     7     2     9     8     2     8     2     1     8     8             10
Vardas375         Pavarde375             4     7     1     4     5     5    10     7     6    10     9     1     4     9     7              5
Vardas376         Pavarde376             4     2     5     4     2     3     1     8     5     9     5    10     4    10     8              2
Vardas377         Pavarde377             6     8     4     3     9     6    10     8    10     4     8     6     1     2    10              9
Vardas378         Pavarde378             5     7     3     2     4    10     1     8     3     9     1    10     3     1    10              5
Vardas379         Pavarde379             3     1     7     7     5     7     2     4     7     5     6     9    10     8     5              5
Vardas380         Pavarde380             2     7     8     6     5     1     3     4     4     3     3     4    10     9    10              4
Vardas381         Pavarde381            10     8     6     6     3    10     6     9    10     8     1     5     2     1     4              9
Vardas382         Pavarde382             3     8     4     3     4     6     7     1     8     3    10     7     7     5     3              8
Vardas383         Pavarde383             6    10     7     1     8     7     2     6     1     3     6     8     9     5     2             10
Vardas384         Pavarde384             3     6     3    10     4     1     3     3     7     1    10     3     6     2     7              6
Vardas385         Pavarde385             5     8     5    10     3     2    10     8     2     7     5     4     2     8     6              6
Vardas386         Pavarde386             6     3    10     1     9     4    10    10     3     5     5     3     6     6     4              7
Vardas387         Pavarde387             3     9     5     2     3     7     7    10     2     5     4     5     7     9     5              4
Vardas388         Pavarde388             9     5     8     5     7     5     7     7     4     9     1     7     2     2     7             10
Vardas389         Pavarde389             1     6     9     2     2     2     6     9     4     5    10     1     9     2    10              4
Vardas390         Pavarde390             9     8     5     8     1     8     7     4    10     3     7    10     9    10     6              2
Vardas391         Pavarde391             8     1     1     8     2     3     7    10     5     4     1     3     3     3     4              4
Vardas392         Pavarde392             4     2     1     3     4     1    10    10     3     7     6     7     7     4     5              9
Vardas393         Pavarde393             9     9     9     4     6     2     4     8     4     8     5     1     7     2    10              5
Vardas394         Pavarde394             7     3     5     4     1     2     4     6     9     4     8     5     8     2     3              4
Vardas395         Pavarde395            10     1     9     3     9     7     1     8     9     2     7     6     2     5     1              6
Vardas396         Pavarde396             8    10     1     6     4    10     5     9     5     4     9     9     1     8     5              4
Vardas397         Pavarde397             4     3     1     9     7     5     7    10     8     8     8    10     3     6     6              7
Vardas398         Pavarde398             8     7     5     6     1     7     3     6     4     7     7     9     7     4     5             10
Vardas399         Pavarde399             2     6     5     5     5     4    10     7     8     5     8     7     4     5     3              2
Vardas400         Pavarde400            10     6    10     7     2     2     9     4     7     1     7    10     1    10     5              7
Vardas401         Pavarde401            10     4     7     2     4     7     4     1     8     6     3     8    10     6     4              4
Vardas402         Pavarde402             2     7    10     6     9     4     9     8     2     2     5     4     6     8     1              2
Vardas403         Pavarde403             8     9     7     6     2     7    10    10     2     2     3    10     6     4     1              5
Vardas404         Pavarde404             7     4     3     9    10     6     1     1     9     2     9     6     8     1     5              8
Vardas405         Pavarde405             5     4     5     3     6     5     1     3     5    10     5     7     4     9     9             10
Vardas406         Pavarde406             2    10     4     3     1     7     1     9     9     1     4     2     3     5    10              6
Vardas407         Pavarde407             6     3    10     9     3    10     1     1     7     8     5     3     7     4     5              4
Vardas408         Pavarde408             7     2     2     5     2     3    10     3     7     1    10     9    10     6     3              1
Vardas409         Pavarde409             8     5     1    10     3     6     4     6     9     3     5     7     9     4     2              8
Vardas410         Pavarde410             9     8     3     6     1     9     6     4     1     7     2    10     6     2     8              5
Vardas411         Pavarde411             1     4    10     1     9     4     1     9     2     5     4     5     3     7     5              7
Vardas412         Pavarde412             6     5     9     3     1    10     9     3     2     5     1     7     3     5     3              1
Vardas413         Pavarde413             7     7     7     3     8     2     2    10     8     3     6     2     4     1     9             10
Vardas414         Pavarde414             9     5     2     7     7     8     2     1     3     9     4     4     2     3     7              4
Vardas415         Pavarde415             2     6     5     6     4     5     5     8     4     5     4     3     2     5     1              8
Vardas416         Pavarde416             9    10     8     1     4     2     4     7     2     1     9     4     4     2     4              3
Vardas417         Pavarde417             2     5    10     7     3     5    10     3     3     2    10     1     1    10     6              3
Vardas418         Pavarde418             6     2     8     2     4     2     7     6     4     1     4     5     3     5     4              7
Vardas419         Pavarde419             3     6    10     4     8     7     4    10     2     1     6     9     2    10     1              6
Vardas420         Pavarde420             5     9     9     5     9     4     9     8     6     1     3     6     1     2     6              3
Vardas421         Pavarde421             5     7     3     5     6     6     5    10     5    10     3    10     7    10     2              4
Vardas422         Pavarde422             1     7     3     4     4    10     1     6     8     1    10    10     1     2     8             10
Vardas423         Pavarde423             4     5     2     6     6     4     5    10     8     6     5     9     2     4     7              4
Vardas424         Pavarde424             8     2     6     2     2     1     3     6     1     2     1     8     4     5     4              2
Vardas425         Pavarde425             2     9     8    10     1     6    10     3     2     3     1     4     5     8     1              1
Vardas426         Pavarde426             2     9     4     2     2     9     9     4     4     6    10     3     9     4     5              6
Vardas427         Pavarde427            10     1     7     3     5     6    10     9     6     2     9     8     7     8     6             10
Vardas428         Pavarde428             5     4     2     1     6     5     7     1     9     2     2     8     5     5     6              5
Vardas429         Pavarde429             3    10     1     8    10     5     8     1     6     7     5    10     3     6     6              2
Vardas430         Pavarde430             3     2     5     4     4     3     2    10     5    10     4     6     6     1     7              2
Vardas431         Pavarde431             8     4     2     7     3     1     5     7     9     3    10     7     9     2    10              7
Vardas432         Pavarde432             4    10     9     8     6     4     1     1     6     5     2     4     6     8     4              8
Vardas433         Pavarde433             9     5     3     9     1     5     2     7     6     9     4     8     3     2    10              8
Vardas434         Pavarde434             2     3     2     2     3     2     4     6     7     1     2     6     4     1     9              6
Vardas435         Pavarde435             4     3     3     7     8    10     3    10     7     2     3     2     1     1     9              1
Vardas436         Pavarde436             1     6    10     9     2     3     5     4     1     3     1     1     5     2    10              7
Vardas437         Pavarde437             6     4    10     8     5     9    10     5     1     9     8     8     6     7     1              4
Vardas438         Pavarde438             9     1    10     5    10     4     6     5     8     9     7     2     5     8     4             10
Vardas439         Pavarde439             8     1     6     5     5     7     6     9     5     8     9     8     6     3     2              8
Vardas440         Pavarde440             8     7    10     5    10     4     2     2     5    10     6     6     1     3     4             10
Vardas441         Pavarde441             7    10     9     9     2     4     7     1     1    10     6     5     9     8     5             10
Vardas442         Pavarde442            10     9     4     9     6     3     2     6     4     2     7     8     4     1     6              3
Vardas443         Pavarde443             3     2     6     1     3     7     3     9     4     7     8     5     6     4     8              8
Vardas444         Pavarde444             9     9     5     1     4     6     9    10     4     2     8     1    10     4     4              6
Vardas445         Pavarde445             8     4     7     5    10     5     1     1    10     8     9     7     6     3     3              4
Vardas446         Pavarde446             6     4     8    10     2     1     6     1    10     4     7     6     6    10     7              2
Vardas447         Pavarde447            10    10     2     8     6    10     5     8     6     1     4     3     1     4     9              9
Vardas448         Pavarde448             6    10     5     1     4     8     8    10     6    10     1     7     9     8     7             10
Vardas449         Pavarde449             1    10     2     8    10     9     6    10     1     5     1     6     3     6     9              1
Vardas450         Pavarde450             8     5    10     4     5     1     2     2     5     8     2     1     7     5     4              9
Vardas451         Pavarde451             1     2     1     5     6     4     6    10     5     3     8     1     9     3     4              1
Vardas452         Pavarde452             2     3     6     8     6     2     9     6     4     2     7     1     9     5     9              8
Vardas453         Pavarde453             6     8     6     6     1     3     5     9     1     5    10     6     5     2     3              5
Vardas454         Pavarde454             8    10     1     3     3     5     8     8     1     2     8     2     8     9     6              2
Vardas455         Pavarde455             6     8     5     4     8     3    10     3     3     6     3     6     1     5     1              9
Vardas456         Pavarde456             9     5     5     4     4     6     3     3     1     6     1     5     4     3     7              9
Vardas457         Pavarde457             9     2     6     7     3     4     9    10     2     2     6     7     9     2     9              8
Vardas458         Pavarde458             2    10    10     3     1     5     2     3     9     1     1     5     7     1     1              4
Vardas459         Pavarde459            10     9     6     5     6     5     5     9     1    10     9    10     8     1    10              9
Vardas460         Pavarde460             5    10     3     1     9     1     8     4     1     3     6     1     8     1     3              8
Vardas461         Pavarde461            10     1     1     7     5     2     6     2     3    10     8     1     7     4     7              4
Vardas462         Pavarde462             7     8     7     7     4     4     3     5     9     2     8     2    10     1     7              8
Vardas463         Pavarde463             2     4     4     9     2     8    10     2     4     1     2     9     4     1     4              5
Vardas464         Pavarde464             7     8     4     3     6     5     9     3     8    10     4     7     6     5     7              5
Vardas465         Pavarde465             2    10     9     8     7     1     2     4     6     6     7     9     7     9     3              5
Vardas466         Pavarde466             7     6     4     4    10     5     9    10     3     1     2     6     6    10     5              8
Vardas467         Pavarde467             6     1    10     1     2     5     2     4     3    10     9     7     4    10    10              6
Vardas468         Pavarde468             2     2     1     8     7    10     3     3     5     7    10     4     3     4     5              2
Vardas469         Pavarde469             9     1     2     7     9    10     6     8     7     4     9     3     2     5     6              5
Vardas470         Pavarde470             1    10     2     2     9     6     6     6     5     4     1    10     8     8    10              2
Vardas471         Pavarde471             2    10     9     5     8    10     3     6    10    10     5     8     7     9     8              5
Vardas472         Pavarde472            10     7     3     4     7     8     2     9     9     2     4     5     9     5     9              9
Vardas473         Pavarde473             6     5     5     2     1     2     3     2     1     3     1     6     1     2     1              9
Vardas474         Pavarde474             8     1     6     3     6     5     3     5     3    10     9     6     7     7     2              1
Vardas475         Pavarde475             5     2     7     7     6     4     2     5     7     3    10     2     7     8     8              8
Vardas476         Pavarde476             8     1     6     8     8     1     4     4     8     4     2     6     2     8     9              1
Vardas477         Pavarde477             5     2    10     4     1     9     1     9     3     2     1     7     4     9     6              5
Vardas478         Pavarde478            10     5     2     6     9     1     9     6     9     2     2     6     2     7     3             10
Vardas479         Pavarde479             2     8     1     6     5     3     8     7     9     3     8    10     6     9     2              9
Vardas480         Pavarde480             4     8    10     4     6     9     4     1    10     6     7    10     4     9    10              9
Vardas481         Pavarde481             2     8     4     7     9     7     4     3     7     1     9     8     1     5     9              2
Vardas482         Pavarde482             9     2     4     9     8     9    10     6     2    10     7     7    10     6     6              3
Vardas483         Pavarde483             9     2     7     3     8     9     9     1     6     1    10    10     8     4     4              7
Vardas484         Pavarde484             6     4     9     4    10     3     7     7     6    10     2     5    10     9     8              5
Vardas485         Pavarde485             5     3     8     3     8     3     1    10     9     2     7     3     3     8     5              9
Vardas486         Pavarde486             4    10     9     5     7     9     7     9     8     6     9     8     6     8     2              8
Vardas487         Pavarde487             4     8     1    10     7    10     3     3     1     2     7     2     6     6    10              7
Vardas488         Pavarde488             5     7     8     3     7     9     7    10     3     9     9     5     5     1     8             10
Vardas489         Pavarde489            10     9     5     2     2     6     7     8     4     3     1     9     9    10     4              2
Vardas490         Pavarde490             4     7     2     1     2     6     3     3     3     1     5     3     8     2     9              4
Vardas491         Pavarde491             4     5    10     7     4     4     3     3     7     6     3     3     5     6     7              3
Vardas492         Pavarde492             4     9     6     8     9     2     2     1     1     1     4     8    10     7     8              9
Vardas493         Pavarde493             9     8     2     6     3     4     2     7     7     5     3     2    10     8     3              9
Vardas494         Pavarde494             3     9     3     7     1     8    10     5     2     9     7     2     1     8     9             10
Vardas495         Pavarde495             6     2     9     5     2     7     5     8     6     8    10     4     1     5     5             10
Vardas496         Pavarde496             6     1     8     5    10     7     5     8     6     6     9     6     1     3     2              8
Vardas497         Pavarde497             1     3     2     9     2     3     7     7     1     9     2     2     9     3     9              1
Vardas498         Pavarde498             9     9     6     3     9     1     4     8     4     6     5     4     3     6     5              6
Vardas499         Pavarde499             2     9     9     5     1     2     9     3    10     8     7     3     3     5     2              8
Vardas500         Pavarde500             5     3     2     5     3    10     5     8     1     4     2     7     2     8     8              3
Vardas501         Pavarde501             6     4     8     8    10     2     4     9     3     5     8     3     3     3     8              5
Vardas502         Pavarde502             2     9     9     2     8     4     3     2     1    10     2     6     8     9    10              2
Vardas503         Pavarde503             8     4     8     9     8     5     7     6     3     2    10    10    10     8     3              7
Vardas504         Pavarde504             1     3     6     2     1     1     2     1    10     9     5     2     6     1    10              6
Vardas505         Pavarde505             3     5     4     1     1     2     7     9     8     2     8     1     3     8     8              7
Vardas506         Pavarde506             5     6    10     7     1     6     6     9     6     5     4     4     7     4     8              7
Vardas507         Pavarde507             3     8    10     7     8     6     1     9     6     1     8     4     7     7     3              6
Vardas508         Pavarde508             2     8     1     4     8     3     6     5     6     5     7     1     7     8     6              8
Vardas509         Pavarde509             9     9     2     7    10     3     3     4     9     3     2     2     7     5     8              9
Vardas510         Pavarde510             7     9     3     4     8     2     2    10     8     1     8    10     1     5     1              8
Vardas511         Pavarde511             8    10     7    10     9     2     9     3     2     8     4     4     7    10     4              2
Vardas512         Pavarde512             7     5     9     9     6     2     2     1     4     7    10     7    10     7     9             10
Vardas513         Pavarde513             6     5     9     5     3     7     9     7     4     4     2     7     1     7    10              3
Vardas514         Pavarde514             1     4     4     7     7     7     5     9     7     1     1     7    10     9     8              9
Vardas515         Pavarde515             5    10     8     9     1     2     2     1     4     5    10     8     1     4     3              8
Vardas516         Pavarde516             1     6     3     3    10     1     2     6     6     7     8     4    10     7     9              6
Vardas517         Pavarde517            10     7     7     1     4     7     3     2     4     9     8     6    10    10     8              6
Vardas518         Pavarde518             3     3     8     1     4     6     6     3     7     6     3     8     1    10     6              6
Vardas519         Pavarde519             8     8     8     4     7     6     6     7     2     4     6     4     1     7     2              8
Vardas520         Pavarde520             4     9     5     4     5     7     5     9     6     3     6     2     7     4     1              5
Vardas521         Pavarde521             5     8     3     5     7     2     7     7     7     4     4     2     7     6     6              7
Vardas522         Pavarde522             9     9    10     2     5     8     1     5     6     6     6     5     8     6     3             10
Vardas523         Pavarde523             9     1     3     7     6     3     6     9    10    10     9     7     4     1     1              2
Vardas524         Pavarde524             4     9     7     9     9     3     6    10     8     2     5     3     1    10     9              2
Vardas525         Pavarde525             8     7     6     7     6     4     4     6     7     4     6     6     8     1     2              1
Vardas526         Pavarde526             4     8     4     2     4     5    10     7     1     3     2    10     9     9     9              8
Vardas527         Pavarde527             6     1    10     1     4     8     3     6     3     4     6     8     8    10     1              2
Vardas528         Pavarde528             2     5     5     6    10     6     7     5     8     7     9     1     1     1     9              7
Vardas529         Pavarde529             8     9     4     4     9     3     7     4     9     6     7     8     1     7     2              2
Vardas530         Pavarde530             4    10     6     1     2     4     9     9     7     8    10     8     1     7     1              2
Vardas531         Pavarde531             5     7     5     3     9     3     3     7     9     8    10     3    10     4     9              7
Vardas532         Pavarde532             1     7     7     9     9     7     8     4     4     2     2     6     1     5     1              4
Vardas533         Pavarde533             5     5     5     3     5    10     2     4     8     2     3     4     9     2     5              2
Vardas534         Pavarde534             6     1     3     7     7     1     8     4     8     3     1     1     9     6    10             10
Vardas535         Pavarde535             2    10     6     7    10     4    10     4     5     8     6     7     6     3     7              8
Vardas536         Pavarde536             3     5     9     9     3     9     1     8     8     2     7     7     7     8     5              1
Vardas537         Pavarde537             8     6     2     4     4    10     7     3    10     1     8     1     7     4     8              4
Vardas538         Pavarde538             1     1     6    10     2     2     3     3     3     1     6     2     9     9     2              3
Vardas539         Pavarde539             8     6     6     1     2     3     1     9     8     3     1    10     8     4     1              7
Vardas540         Pavarde540             3     4    10     3    10     4     4     4     5     7     7     6     5     1     3              3
Vardas541         Pavarde541             6     4    10     6     8     9    10     5     7     4     5     3     1     6     7             10
Vardas542         Pavarde542             9     6     3     9    10    10     3     4     8     1     7     4     1     2     7              8
Vardas543         Pavarde543             6     7     4    10     1     7     4     7     6     8     2     2     2     1     7              4
Vardas544         Pavarde544             9     9     8     5     9    10     1    10     6     7     6     3     5     9     8              1
Vardas545         Pavarde545             9     4     9     8     2     9     3     8     6     7     1     3     5     3     8              7
Vardas546         Pavarde546             4     7     9     7     5     6     4     1     9     7    10     9     9     3     2              7
Vardas547         Pavarde547             4     3     7     1     7     3     9     9     7     3     7     2     4     5     9              8
Vardas548         Pavarde548             3     6     2     6     8     2     8     5     9     1     5     7     5     2     6              7
Vardas549         Pavarde549             5     6     7     6     1     5    10     3     2     8     8     8     8     7     4              6
Vardas550         Pavarde550             3     2     8    10     7     2     6     7    10     7     2     9     1     5     8              6
Vardas551         Pavarde551             8     4     6     8     5     1     6     9     5     4     2     7     4     9     1              2
Vardas552         Pavarde552             1     4     4    10     3     4     8     9    10     4     8     1     4     8     2              4
Vardas553         Pavarde553             4     1     5    10     9     4     9     8     1     9     5     3     9     7     5              9
Vardas554         Pavarde554             7     8     6     8     8     2     6     1     1     6     9    10     9     3     9              8
Vardas555         Pavarde555             7     4     6     9     1     2     1     8     3    10     4     9     7     1     8              4
Vardas556         Pavarde556             7     1     9     7     7     1    10    10     4     3     9     1     8     6     6              3
Vardas557         Pavarde557             7     1    10     6     1     8     5     6     6     7     1     9    10     1     4              8
Vardas558         Pavarde558             8     4     6     4     5     7     5     3     6     2     6     2     6     5     9              2
Vardas559         Pavarde559             4     1     6     7     6     1    10     8     6     8    10     4     5     9     4              9
Vardas560         Pavarde560             7     1     8    10     7     6     6     8     4     7     1     4     4    10    10              4
Vardas561         Pavarde561             1     2     2     9     4     9     9     3     1     9     4     7     1     9     6              2
Vardas562         Pavarde562             6    10     7     4     7    10     5     5    10    10     8     9     2     6     3              4
Vardas563         Pavarde563             1     8     6     5     5     6     4     3     1     8     8     6     3     7     7              1
Vardas564         Pavarde564             2     5     2     2     9     7     6     7    10     5     7     3     3     3     2              1
Vardas565         Pavarde565             6     1     9    10     8     8     9     3     2     5     4     9     1     8     9              8
Vardas566         Pavarde566            10    10     1     1     7     1     9     2     1     7     1     5     9     8     4              6
Vardas567         Pavarde567            10     8     9     7     5     9     7     6     4     4     2     9     7     4    10              8
Vardas568         Pavarde568             4     2     8     6     3     6     1     3     2     6     1     4     9     8     6              4
Vardas569         Pavarde569             3     5    10     1     9     6     4     4     8     6     1     6     1     3     9              2
Vardas570         Pavarde570             4     7     4     2     9     7     1    10     8     8     3     9    10     3     4              9
Vardas571         Pavarde571            10     9     7     1     3     6     8     8     5     5     3     3     7     5     6              5
Vardas572         Pavarde572             9     4     5     2     6     1     8     9     9     8     5     3     8     9     2             10
Vardas573         Pavarde573             9     1     3     1     3     5     8     6     8     1     8     1     1     6     5              4
Vardas574         Pavarde574             5     5     1     9     3     6     1     4     9     2     5     8     4     1     5              8
Vardas575         Pavarde575             8     1    10     6     8     8     6     1     9    10     4     9     5    10     1              7
Vardas576         Pavarde576             6     1     9     4     1     3     3     7     8     2     5     2     1     6     3              4
Vardas577         Pavarde577             4     5     8     9     5     3     7     9     8     2     8     4     3     3     1              2
Vardas578         Pavarde578             6     6     7     8     2     4     9     3     8     4     7     4     5     8     6              7
Vardas579         Pavarde579            10     3     9     3     5     2     7     9     6     5     5     5     9     2     2              1
Vardas580         Pavarde580             4     6     9    10    10     1    10     3     9     4     1     2     5     6     5              2
Vardas581         Pavarde581             6     5     7     9     8     5    10     4     6     7     3     9     4     7     7              7
Vardas582         Pavarde582             6     6     8     4     2    10     9    10     8     3     3     7     3     2     6             10
Vardas583         Pavarde583             5     8     9    10    10     6     3     3     3     8     2     9     5     2     1             10
Vardas584         Pavarde584             9     6     8     9     5     6     6    10     8     6     7     4     2    10     5              5
Vardas585         Pavarde585             7     7     2     3    10     9     2     1     5     6     4     3     9     3     1              2
Vardas586         Pavarde586             8     3     8    10     2     9     1     6     6     1     1     2     9     6     9              2
Vardas587         Pavarde587             5     8     6     2     3     1     2     8     6    10     2     4     6    10     4              3
Vardas588         Pavarde588             2     6    10     8     5     6     5     3     8     5     6     6     6    10     9              6
Vardas589         Pavarde589             6     2     7    10    10     8     3     9    10     4     2     2     2     7     9             10
Vardas590         Pavarde590             9     7     2     2     4     2     2    10     7     8     3     2     6     6     9             10
Vardas591         Pavarde591             2     1     5     5     9     4     7     4     4     2     2     3     4    10     4              1
Vardas592         Pavarde592             7     1     7     3     7     5     4     2     3    10     4     3     3    10     3              5
Vardas593         Pavarde593            10     1     7     6     6     3     3     7     6     6     1     7     9     7     9              5
Vardas594         Pavarde594             4     7     7     6     6     2    10     7     9     7     9     9     6    10     3              4
Vardas595         Pavarde595             9    10     4     7     9     2     1     5     2     8     8    10     2     3    10              6
Vardas596         Pavarde596             4    10     1     2     9     6     8     6     8     1     9     7     6     3     3              6
Vardas597         Pavarde597             9     6     7     1     2     4     7     9     8     4     5     7     7     6     8              9
Vardas598         Pavarde598             7     9     5     5     4    10     6     3     4     8     8     7     8     1     8             10
Vardas599         Pavarde599             7     9     1     3     5     6     9     5     9    10     8     3     2     1    10              7
Vardas600         Pavarde600             4     4     7     2     9     5     9     3     4     7     8     8     6     4     3              7
Vardas601         Pavarde601             6     2     7     5     5     3     4     1     1     7    10     5     9     1     3              7
Vardas602         Pavarde602             6     4     4     5     2     9     2     6     4     4     4     7     4     6     4              3
Vardas603         Pavarde603             8     5    10     8     7     5     5     2     6     3     1     1     8     6     6              4
Vardas604         Pavarde604             2     3     6    10     9     9     7     1     7     4     4     8     4     1     5              5
Vardas605         Pavarde605             6     5     5     2     6     1     8     3    10     8     9     4     9    10    10              7
Vardas606         Pavarde606             6     5     7     8     8     3     2     1     2     6     6     4     8     7     9              8
Vardas607         Pavarde607             4     9     5     8    10     5     1     2     4     6     8     1     2     8     8              1
Vardas608         Pavarde608             5     2    10     2     1     1     7     4     9     4     1     3     6     2     6              7
Vardas609         Pavarde609             9     5     2     4     4     9     7     8     9     3     9     3     5     5     7             10
Vardas610         Pavarde610             9     8     1     2     7     3     7     5     5     6     3    10     9     5     2              7
Vardas611         Pavarde611             6     9    10     1     4     9     6     6     3     5     3     5     6     1     4              5
Vardas612         Pavarde612             3     5     2     9     1     5     2     2     3     4     7     1     2     6    10              9
Vardas613         Pavarde613             5     8     4    10     7     9     6     5     5     8    10     9     2     3     3              3
Vardas614         Pavarde614             8     3     8     9     3     9     4     4     9     2     1     7    10    10    10              8
Vardas615         Pavarde615             5     7     2    10     6     9    10    10     2    10     8    10     4     5     6              1
Vardas616         Pavarde616             4    10     5     3     9     5     8     3     8     7     3     3     1     9    10              2
